,vote_0_1,groupe_position,urbain,median_voter_is_urban,moto/voiture,median_voter_isnot_car_driver
11763,1,1,69.7,1,79.9,0
11764,1,1,100.0,1,66.1,0
11766,1,1,100.0,1,12.6,1
11768,0,0,100.0,1,60.5,0
11769,0,0,62.3,1,83.9,0
11770,0,0,85.5,1,72.0,0
11771,0,0,39.3,0,84.6,0
11772,0,0,74.4,1,74.89999999999999,0
11773,0,0,38.8,0,81.0,0
11774,1,1,86.7,1,81.9,0
11775,1,1,36.1,0,88.4,0
11776,1,1,100.0,1,62.1,0
11777,1,1,54.4,1,82.1,0
11778,1,1,11.8,0,86.5,0
11779,1,1,100.0,1,51.3,0
11780,1,1,100.0,1,25.0,1
11781,1,1,100.0,1,46.3,1
11782,1,1,100.0,1,73.3,0
11783,1,1,44.3,0,83.3,0
11784,1,1,42.4,0,84.8,0
11785,1,1,100.0,1,38.3,1
11786,1,1,98.6,1,86.0,0
11787,1,1,13.6,0,84.5,0
11788,1,1,20.0,0,86.0,0
11791,1,1,45.4,0,82.4,0
11792,1,1,68.0,1,87.5,0
11793,1,1,22.8,0,84.1,0
11794,1,1,28.5,0,86.8,0
11795,1,1,76.5,1,74.2,0
11796,1,1,17.9,0,86.1,0
11797,1,1,94.5,1,71.7,0
11798,1,1,96.6,1,49.7,1
11799,1,1,52.5,1,86.60000000000001,0
11800,1,1,41.9,0,88.7,0
11801,1,1,63.0,1,82.60000000000001,0
11802,1,1,64.4,1,88.6,0
11803,1,1,61.2,1,80.10000000000001,0
11804,1,1,100.0,1,44.3,1
11805,1,1,91.4,1,72.3,0
11806,1,1,26.0,0,84.2,0
11807,1,1,89.8,1,89.39999999999999,0
11808,1,1,55.6,1,89.80000000000001,0
11809,1,1,23.7,0,89.5,0
11810,1,1,94.1,1,78.2,0
11811,1,1,66.8,1,71.19999999999999,0
11812,1,1,62.8,1,86.5,0
11813,1,1,73.5,1,74.5,0
11814,1,1,100.0,1,37.5,1
11817,1,1,82.9,1,81.8,0
11818,1,1,67.0,1,79.1,0
11819,1,1,17.0,0,86.60000000000001,0
11820,1,1,55.5,1,84.9,0
11821,1,1,100.0,1,10.8,1
11822,1,1,87.6,1,70.3,0
11823,1,1,98.1,1,82.89999999999999,0
11824,1,1,79.4,1,69.4,0
11825,1,1,45.0,0,84.5,0
11826,1,1,99.9,1,64.39999999999999,0
11827,1,1,100.0,1,48.5,1
11828,1,1,100.0,1,49.2,1
11829,1,1,100.0,1,52.0,0
11830,1,1,100.0,1,30.1,1
11831,1,1,100.0,1,46.1,1
11832,1,1,100.0,1,63.0,0
11833,1,1,84.3,1,80.3,0
11834,1,1,77.6,1,85.5,0
11835,1,1,82.1,1,86.8,0
11836,1,1,31.2,0,86.10000000000001,0
11837,1,1,31.9,0,76.69999999999999,0
11838,0,0,25.3,0,87.4,0
11839,0,0,98.6,1,88.2,0
11840,1,1,80.4,1,85.2,0
11841,1,1,84.1,1,86.60000000000001,0
11842,1,1,61.6,1,86.1,0
11843,1,1,83.6,1,76.0,0
11844,1,1,33.9,0,84.10000000000001,0
11845,1,1,85.4,1,84.10000000000001,0
11846,1,1,81.4,1,88.5,0
11847,1,1,89.9,1,64.3,0
11848,1,1,100.0,1,35.5,1
11849,1,1,65.2,1,72.0,0
11850,1,1,38.7,0,86.5,0
11851,1,1,100.0,1,14.4,1
11852,1,1,70.0,1,70.60000000000001,0
11853,1,1,100.0,1,64.1,0
11854,0,0,0.0,0,89.6,0
11855,0,0,51.0,1,87.6,0
11856,0,0,15.3,0,83.60000000000001,0
48930,1,1,100.0,1,27.2,1
48931,1,1,83.1,1,82.30000000000001,0
48932,1,1,100.0,1,32.1,1
48933,0,0,100.0,1,28.7,1
48934,0,0,100.0,1,32.1,1
48935,0,0,22.6,0,85.8,0
48937,0,0,31.6,0,75.0,0
48938,0,0,68.9,1,76.30000000000001,0
48939,0,0,38.7,0,80.69999999999999,0
48940,0,0,9.2,0,83.3,0
48941,0,0,100.0,1,48.1,1
48943,0,0,38.8,0,81.0,0
48945,1,1,52.8,1,86.60000000000001,0
48946,1,1,100.0,1,51.3,0
48947,1,1,100.0,1,25.0,1
48948,1,1,100.0,1,73.3,0
48949,1,1,52.2,1,81.4,0
48950,1,1,21.4,0,84.80000000000001,0
48951,1,1,71.6,1,77.6,0
48952,1,1,22.8,0,84.1,0
48953,1,1,41.9,0,88.7,0
48954,1,1,63.0,1,82.60000000000001,0
48955,1,1,79.5,1,82.4,0
48956,1,1,27.9,0,83.39999999999999,0
48957,1,1,23.7,0,89.5,0
48958,1,1,66.8,1,71.19999999999999,0
48959,1,1,62.8,1,86.5,0
48960,1,1,100.0,1,37.7,1
48963,1,1,100.0,1,45.0,1
48964,1,1,67.0,1,79.1,0
48965,1,1,100.0,1,16.1,1
48966,1,1,100.0,1,15.8,1
48967,1,1,55.5,1,84.9,0
48968,1,1,100.0,1,27.7,1
48969,1,1,79.4,1,69.4,0
48970,1,1,100.0,1,26.700000000000003,1
48971,1,1,43.2,0,79.89999999999999,0
48972,1,1,100.0,1,49.2,1
48973,1,1,35.7,0,88.89999999999999,0
48974,1,1,19.9,0,85.8,0
48975,1,1,86.0,1,50.4,0
48976,1,1,100.0,1,14.2,1
48977,1,1,84.5,1,88.7,0
48978,1,1,23.8,0,83.1,0
48979,1,1,100.0,1,12.6,1
48980,1,1,100.0,1,80.4,0
48981,1,1,33.9,0,84.10000000000001,0
48983,1,1,90.7,1,88.5,0
48984,1,1,100.0,1,57.3,0
48985,1,1,96.0,1,56.8,0
48986,1,1,100.0,1,56.4,0
48987,0,0,98.0,1,62.2,0
48988,0,0,37.8,0,86.8,0
